EmployeeID,Department,Salary,JoiningDate
e001,sales,8779.945,2021-01-04
e002,sales,8779.945,2020-05-22
e003,ops,9868.83,2024-02-01
e004,sales,14282.88,2025-01-29
e005,sales,8779.945,2026-02-03
e006,it,8779.945,2020-12-30
e007,finance,8779.945,2021-12-05
e008,hr,8779.945,2020-11-06
e009,ops,8779.945,2019-06-15
e010,ops,8779.945,2025-10-20
e011,finance,7345.29,2022-10-25
e012,ops,8779.945,2022-11-28
e013,sales,8779.945,2024-04-04
e014,hr,12330.54,2026-06-10
e015,finance,4804.73,2023-01-23
e016,it,8779.945,2022-06-21
e017,finance,5593.71,2019-08-31
e018,ops,8779.945,2022-03-05
e019,finance,8779.945,2025-07-22
e020,it,4007.12,2019-09-23
e021,hr,4615.8,2024-09-13
e022,sales,8779.945,2024-01-04
e023,it,8779.945,2020-06-29
e024,finance,11469.12,2025-09-24
e025,sales,3601.51,2022-04-08
e026,hr,1991.32,2025-11-22
e027,sales,4138.06,2019-06-20
e028,finance,8779.945,2023-11-13
e029,ops,1636.63,2019-11-03
e030,finance,8779.945,2021-11-16
e031,sales,1374.67,2021-06-04
e032,hr,8779.945,2026-03-04
e033,it,5509.67,2022-03-02
e034,sales,6438.96,2019-01-28
e035,sales,1860.06,2020-07-17
e036,hr,14308.17,2025-03-06
e037,finance,9392.26,2021-12-03
e038,ops,12428.32,2021-11-06
e039,ops,8779.945,2022-06-26
e040,finance,8779.945,2026-04-09
e041,finance,8779.945,2025-08-27
e042,sales,13898.94,2019-12-28
e043,finance,8779.945,2019-05-20
e044,finance,8779.945,2023-02-15
e045,finance,5384.78,2023-01-29
e046,ops,8779.945,2025-04-30
e047,sales,8779.945,2026-06-12
e048,sales,8779.945,2025-01-30
e049,finance,2492.64,2021-03-31
e050,sales,14897.81,2019-03-04
e051,ops,8779.945,2021-07-19
e052,hr,8779.945,2025-09-13
e053,hr,5678.63,2022-04-04
e054,finance,8779.945,2026-02-12
e055,it,10318.17,2020-01-09
e056,ops,11225.76,2018-09-12
e057,hr,8779.945,2021-06-13
e058,ops,14798.94,2025-09-01
e059,sales,8779.945,2023-05-25
e060,hr,8779.945,2021-06-13
e061,sales,8779.945,2020-04-12
e062,finance,9771.11,2022-01-22
e063,it,8779.945,2023-08-02
e064,ops,7686.72,2025-02-16
e065,it,2452.72,2019-08-26
e066,it,14461.41,2021-08-15
e067,finance,8779.945,2022-11-10
e068,hr,8779.945,2019-05-15
e069,it,12098.92,2020-06-24
e070,ops,6265.62,2023-11-25
e071,it,8779.945,2019-11-04
e072,finance,10223.94,2021-11-26
e073,ops,8779.945,2024-02-05
e074,hr,8779.945,2022-12-05
e075,hr,8779.945,2020-05-07
e076,finance,13843.75,2022-10-23
e077,finance,14121.16,2025-11-17
e078,sales,8779.945,2023-04-12
e079,finance,13217.99,2023-07-06
e080,finance,8779.945,2022-05-20
e081,sales,6440.14,2025-02-02
e082,sales,8779.945,2024-05-01
e083,hr,11501.62,2025-08-29
e084,hr,6609.02,2021-04-06
e085,sales,2422.74,2021-08-25
e086,hr,8779.945,2023-04-24
e087,it,8779.945,2020-12-26
e088,hr,10259.77,2019-08-02
e089,sales,11140.18,2023-06-27
e090,finance,8779.945,2025-05-13
e091,hr,8779.945,2019-08-07
e092,hr,8779.945,2024-07-15
e093,finance,8779.945,2025-12-15
e094,sales,8779.945,2025-06-21
e095,sales,2164.3,2025-09-15
e096,finance,8779.945,2018-08-29
e097,ops,7435.42,2023-11-15
e098,hr,8779.945,2021-08-19
e099,it,8779.945,2023-07-30
e100,sales,8779.945,2021-06-17
e101,it,8431.98,2019-03-18
e102,finance,8779.945,2022-08-17
e103,ops,12937.76,2022-05-23
e104,it,8779.945,2021-06-25
e105,sales,1859.06,2019-05-15
e106,ops,2748.17,2019-01-29
e107,it,9793.82,2025-09-08
e108,hr,14571.98,2018-10-28
e109,sales,8779.945,2022-10-20
e110,sales,8779.945,2019-03-04
e111,it,8779.945,2024-11-06
e112,sales,8367.77,2020-01-15
e113,hr,2701.9,2018-08-30
e114,sales,8779.945,2025-12-12
e115,sales,3177.57,2021-11-09
e116,hr,11704.08,2023-05-29
e117,ops,8779.945,2024-08-15
e118,hr,8779.945,2023-08-26
e119,finance,12866.63,2023-05-16
e120,hr,8779.945,2021-01-13
e121,it,8779.945,2025-04-19
e122,ops,8779.945,2024-02-21
e123,hr,8779.945,2022-04-09
e124,finance,8779.945,2026-04-01
e125,it,8779.945,2021-01-16
e126,finance,9164.43,2024-12-02
e127,it,14107.95,2020-08-23
e128,it,13697.96,2026-06-10
e129,hr,4613.93,2020-02-03
e130,it,12220.09,2023-04-27
e131,ops,8779.945,2025-04-09
e132,sales,8779.945,2022-01-09
e133,it,1648.65,2019-10-23
e134,sales,8779.945,2022-02-04
e135,hr,8867.0,2020-09-27
e136,sales,12772.76,2018-08-13
e137,hr,8779.945,2019-01-24
e138,finance,8779.945,2021-04-17
e139,finance,8779.945,2021-01-28
e140,it,8779.945,2020-08-04
e141,it,1221.36,2024-12-16
e142,finance,14352.03,2024-10-04
e143,it,8779.945,2022-03-26
e144,finance,8779.945,2025-01-26
e145,it,3040.56,2023-04-21
e146,ops,8779.945,2022-01-11
e147,it,9714.84,2025-05-05
e148,ops,9252.12,2026-03-23
e149,finance,11773.87,2025-10-26
e150,ops,3737.92,2020-02-17
e151,finance,12938.01,2021-02-12
e152,hr,8779.945,2021-06-15
e153,hr,11077.36,2020-04-05
e154,sales,2028.87,2023-12-19
e155,it,14826.95,2022-06-10
e156,sales,4057.85,2023-05-28
e157,it,14458.21,2025-09-10
e158,finance,8779.945,2019-04-05
e159,sales,3244.38,2019-02-21
e160,it,8779.945,2023-01-25
e161,sales,8602.57,2024-03-17
e162,finance,8779.945,2021-09-24
e163,ops,8779.945,2019-07-14
e164,hr,8779.945,2021-07-20
e165,ops,8779.945,2023-08-20
e166,sales,1550.42,2019-10-18
e167,ops,8779.945,2023-04-10
e168,it,8779.945,2023-11-13
e169,finance,14742.26,2023-05-02
e170,ops,8779.945,2024-02-25
e171,sales,8779.945,2024-06-19
e172,sales,8779.945,2020-07-13
e173,ops,5128.97,2023-03-21
e174,hr,8779.945,2019-07-21
e175,finance,8779.945,2019-03-20
e176,finance,9583.01,2024-06-29
e177,it,9809.23,2022-01-10
e178,sales,3198.14,2021-02-09
e179,hr,8779.945,2019-02-27
e180,sales,8779.945,2021-07-09
e181,sales,8185.75,2025-11-21
e182,ops,8779.945,2023-03-08
e183,it,8779.945,2022-01-15
e184,it,8779.945,2019-08-24
e185,it,6856.78,2020-07-01
e186,it,2806.03,2022-12-26
e187,sales,8779.945,2019-05-23
e188,sales,8779.945,2025-07-14
e189,hr,10559.24,2023-03-25
e190,it,14940.7,2020-07-03
e191,it,9040.42,2022-05-27
e192,ops,8779.945,2024-12-26
e193,ops,2566.0,2019-02-14
e194,finance,4095.59,2019-03-30
e195,finance,9571.03,2018-07-23
e196,hr,8779.945,2022-08-25
e197,sales,4559.35,2026-04-03
e198,hr,8779.945,2021-09-29
e199,finance,2394.26,2023-04-01
e200,hr,8779.945,2024-04-22
e201,sales,10600.84,2024-02-25
e202,hr,12042.91,2021-03-11
e203,ops,1384.57,2022-12-05
e204,sales,7857.22,2023-03-26
e205,it,9121.5,2019-04-26
e206,it,8779.945,2025-07-09
e207,hr,2342.5,2025-01-03
e208,sales,8779.945,2022-04-09
e209,ops,14500.53,2023-01-18
e210,ops,9024.04,2025-08-01
e211,sales,8779.945,2024-05-25
e212,sales,8779.945,2025-07-17
e213,hr,8779.945,2021-10-31
e214,it,8779.945,2019-01-31
e215,hr,8779.945,2025-04-12
e216,finance,10070.9,2021-05-13
e217,it,5897.78,2019-06-04
e218,sales,14365.06,2022-10-19
e219,finance,8779.945,2019-12-03
e220,hr,8779.945,2025-04-09
e221,ops,8779.945,2018-10-31
e222,sales,2621.36,2021-10-20
e223,it,12439.0,2024-10-21
e224,ops,8779.945,2025-11-17
e225,finance,8779.945,2025-03-15
e226,finance,8779.945,2019-05-08
e227,finance,8779.945,2021-02-21
e228,it,1278.21,2020-11-16
e229,ops,8779.945,2021-11-23
e230,ops,7592.43,2019-07-06
e231,sales,12189.82,2023-02-10
e232,it,8779.945,2019-01-30
e233,hr,14401.9,2018-10-30
e234,hr,10250.51,2024-02-27
e235,ops,8779.945,2025-04-30
e236,hr,11310.33,2020-03-08
e237,ops,6694.71,2022-11-14
e238,finance,8779.945,2026-05-25
e239,sales,10528.67,2024-10-18
e240,ops,8779.945,2018-10-10
e241,sales,10920.98,2022-03-17
e242,finance,8779.945,2018-08-01
e243,finance,13236.69,2021-02-26
e244,sales,2228.68,2025-07-07
e245,sales,8692.89,2022-05-20
e246,ops,8779.945,2021-09-09
e247,sales,8779.945,2021-03-02
e248,it,8779.945,2021-06-24
e249,it,6304.82,2019-10-13
e250,sales,8779.945,2025-05-01
e251,hr,8779.945,2023-03-31
e252,it,8779.945,2019-11-23
e253,sales,10616.03,2023-12-23
e254,hr,8779.945,2026-01-16
e255,sales,11467.82,2026-01-15
e256,ops,8779.945,2024-06-05
e257,finance,2471.86,2019-01-14
e258,finance,8779.945,2018-07-29
e259,it,8292.19,2022-06-17
e260,ops,13346.99,2024-06-15
e261,it,8187.1,2022-04-25
e262,ops,10127.46,2019-07-30
e263,it,14568.16,2021-05-16
e264,finance,8779.945,2023-10-06
e265,ops,8779.945,2020-12-12
e266,finance,4320.97,2025-06-04
e267,ops,9153.49,2023-08-17
e268,hr,5376.86,2020-03-13
